model,frame_number,inference_time_ms,fps,gpu_memory_mb,gpu_util_percent
mediapipe,66,27.0594,36.96,1420.23,3
mediapipe,67,27.2424,36.71,1420.23,3
mediapipe,68,28.302,35.33,1420.23,3
mediapipe,69,27.0171,37.01,1420.23,3
mediapipe,70,27.5071,36.35,1420.23,3
mediapipe,71,28.4322,35.17,1419.47,3
mediapipe,72,27.3453,36.57,1419.47,3
mediapipe,73,27.6394,36.18,1419.47,3
mediapipe,74,27.6146,36.21,1419.47,3
mediapipe,75,27.4195,36.47,1419.47,3
mediapipe,76,27.2903,36.64,1419.47,3
mediapipe,77,27.3798,36.52,1419.47,3
mediapipe,78,26.884,37.2,1419.47,3
mediapipe,79,26.8122,37.3,1419.47,2
mediapipe,80,27.0067,37.03,1419.47,2
mediapipe,81,28.3505,35.27,1419.47,2
mediapipe,82,27.2725,36.67,1419.47,2
mediapipe,83,27.195,36.77,1419.47,2
mediapipe,84,27.0054,37.03,1419.47,2
mediapipe,85,27.4431,36.44,1419.47,2
mediapipe,86,28.3008,35.33,1419.47,2
mediapipe,87,29.2412,34.2,1419.47,2
mediapipe,88,26.8412,37.26,1419.47,2
mediapipe,89,27.5707,36.27,1419.47,3
mediapipe,90,34.3824,29.08,1419.47,3
mediapipe,91,27.7239,36.07,1419.47,3
mediapipe,92,27.92,35.82,1416.53,3
mediapipe,93,28.2963,35.34,1416.53,3
mediapipe,94,27.9264,35.81,1416.53,3
mediapipe,95,27.0451,36.98,1416.53,3
mediapipe,96,28.0649,35.63,1416.53,3
mediapipe,97,27.6452,36.17,1416.53,3
mediapipe,98,28.0564,35.64,1416.53,3
mediapipe,99,27.1521,36.83,1416.53,3
mediapipe,100,27.5742,36.27,1416.53,3
